Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,24.530001,24.570000,24.500000,24.570000,21.808580,3400
2014-03-17,24.570000,24.570000,24.570000,24.570000,21.808580,0
2014-03-18,24.860001,25.110001,24.860001,25.110001,22.287895,5300
2014-03-19,24.850000,24.850000,24.740000,24.830000,22.039366,12600
2014-03-20,24.510000,24.510000,24.510000,24.510000,21.755327,600
2014-03-21,24.719999,24.799999,24.709999,24.799999,22.012735,2500
2014-03-24,24.450001,24.610001,24.450001,24.610001,21.844090,500
2014-03-25,24.610001,24.610001,24.610001,24.610001,21.844090,0
2014-03-26,24.990000,24.990000,24.980000,24.980000,22.172504,1100
2014-03-27,25.139999,25.139999,25.139999,25.139999,22.314522,400
2014-03-28,25.309999,25.309999,25.260000,25.280001,22.438789,900
2014-03-31,25.549999,25.549999,25.549999,25.549999,22.678444,400
2014-04-01,25.740000,25.780001,25.740000,25.780001,22.882591,2100
2014-04-02,25.780001,25.780001,25.780001,25.780001,22.882591,0
2014-04-03,25.780001,25.780001,25.780001,25.780001,22.882591,600
2014-04-04,25.889999,25.889999,25.629999,25.629999,22.749451,4400
2014-04-07,25.629999,25.629999,25.629999,25.629999,22.749451,0
2014-04-08,26.000000,26.110001,26.000000,26.070000,23.139997,3400
2014-04-09,26.170000,26.170000,26.170000,26.170000,23.228760,1000
2014-04-10,26.139999,26.139999,25.990000,26.020000,23.095621,20900
2014-04-11,25.760000,25.930000,25.750000,25.799999,22.900345,6700
2014-04-14,26.030001,26.070000,25.860001,26.070000,23.139997,1400
2014-04-15,26.059999,26.059999,25.750000,25.910000,22.997982,3600
2014-04-16,26.000000,26.160000,26.000000,26.160000,23.219885,5647300
2014-04-17,26.180000,26.360001,26.180000,26.330000,23.370777,15800
2014-04-21,26.309999,26.309999,26.180000,26.270000,23.317522,96300
2014-04-22,26.150000,26.200001,26.150000,26.200001,23.255390,55200
2014-04-23,26.209999,26.209999,25.959999,26.040001,23.113371,50200
2014-04-24,26.200001,26.200001,25.959999,26.070000,23.139997,13900
2014-04-25,25.959999,25.959999,25.820000,25.879999,22.971354,25800
2014-04-28,26.020000,26.020000,25.760000,25.959999,23.042362,11900
2014-04-29,25.940001,26.090000,25.940001,26.020000,23.095621,14200
2014-04-30,26.049999,26.209999,26.049999,26.180000,23.237637,8800
2014-05-01,26.230000,26.230000,26.170000,26.230000,23.282017,8700
2014-05-02,26.400000,26.400000,26.260000,26.270000,23.317522,14400
2014-05-05,26.200001,26.240000,26.129999,26.240000,23.290892,6800
2014-05-06,26.190001,26.270000,26.180000,26.240000,23.290892,9200
2014-05-07,26.150000,26.350000,26.150000,26.299999,23.344152,12000
2014-05-08,26.340000,26.480000,26.340000,26.389999,23.424034,13600
2014-05-09,26.360001,26.379999,26.280001,26.340000,23.379654,8300
2014-05-12,26.530001,26.530001,26.420000,26.500000,23.521671,8900
2014-05-13,26.490000,26.639999,26.490000,26.639999,23.645937,10700
2014-05-14,26.690001,26.809999,26.670000,26.670000,23.672565,8300
2014-05-15,26.549999,26.549999,26.350000,26.400000,23.432913,8000
2014-05-16,26.520000,26.639999,26.500000,26.639999,23.645937,10900
2014-05-19,26.450001,26.670000,26.450001,26.590000,23.601557,11200
2014-05-20,26.170000,26.260000,26.160000,26.190001,23.246515,8200
2014-05-21,26.370001,26.450001,26.350000,26.450001,23.477293,9500
2014-05-22,26.610001,26.610001,26.540001,26.580000,23.592680,7200
2014-05-23,26.500000,26.629999,26.500000,26.620001,23.628185,7500
2014-05-27,26.480000,26.480000,26.370001,26.420000,23.450663,9600
2014-05-28,26.350000,26.530001,26.350000,26.450001,23.477293,11800
2014-05-29,26.600000,26.690001,26.590000,26.650000,23.654814,15100
2014-05-30,26.469999,26.570000,26.379999,26.379999,23.415159,7700
2014-06-02,26.520000,26.520000,26.299999,26.320000,23.361900,38600
2014-06-03,26.389999,26.450001,26.330000,26.370001,23.406282,8000
2014-06-04,26.299999,26.340000,26.209999,26.299999,23.344152,11500
2014-06-05,26.389999,26.570000,26.370001,26.520000,23.539423,12900
2014-06-06,26.620001,26.809999,26.620001,26.730000,23.725822,12300
2014-06-09,26.690001,26.740000,26.590000,26.709999,23.708069,7300
2014-06-10,26.709999,26.730000,26.650000,26.730000,23.725822,12900
2014-06-11,26.610001,26.610001,26.459999,26.530001,23.548302,27100
2014-06-12,26.549999,26.590000,26.430000,26.450001,23.477293,13900
2014-06-13,26.549999,26.559999,26.459999,26.559999,23.574928,8200
2014-06-16,26.360001,26.440001,26.209999,26.280001,23.326399,8400
2014-06-17,26.150000,26.260000,26.150000,26.260000,23.308645,16400
2014-06-18,26.150000,26.580000,26.150000,26.580000,23.592680,9800
2014-06-19,26.500000,26.590000,26.500000,26.549999,23.566051,8200
2014-06-20,26.600000,26.629999,26.469999,26.600000,23.610434,10100
2014-06-23,26.570000,26.680000,26.469999,26.680000,23.681442,8800
2014-06-24,26.580000,26.650000,26.459999,26.469999,23.495043,45900
2014-06-25,26.530001,26.549999,26.389999,26.540001,23.557177,8700
2014-06-26,26.389999,26.469999,26.389999,26.469999,23.495043,5800
2014-06-27,26.520000,26.520000,26.420000,26.500000,23.521671,9600
2014-06-30,26.590000,26.740000,26.469999,26.570000,23.583805,12600
2014-07-01,26.750000,26.750000,26.639999,26.690001,23.690315,13300
2014-07-02,26.750000,26.750000,26.610001,26.670000,23.672565,9700
2014-07-03,26.660000,26.840000,26.620001,26.840000,23.823460,8200
2014-07-07,26.959999,26.959999,26.850000,26.900000,23.876717,24900
2014-07-08,27.049999,27.049999,26.889999,26.950001,23.921099,15600
2014-07-09,27.129999,27.250000,27.129999,27.250000,24.187380,7100
2014-07-10,27.000000,27.150000,26.889999,27.150000,24.098619,8600
2014-07-11,27.090000,27.150000,27.030001,27.150000,24.098619,21200
2014-07-14,27.340000,27.340000,27.110001,27.139999,24.089741,10900
2014-07-15,27.230000,27.230000,27.000000,27.049999,24.009855,7800
2014-07-16,27.270000,27.290001,27.160000,27.270000,24.205133,9300
2014-07-17,27.190001,27.230000,26.870001,26.870001,23.850088,15800
2014-07-18,27.360001,27.360001,27.129999,27.270000,24.205133,10000
2014-07-21,27.170000,27.379999,27.170000,27.370001,24.293894,10200
2014-07-22,27.500000,27.520000,27.430000,27.440001,24.356026,14800
2014-07-23,27.500000,27.559999,27.450001,27.469999,24.382654,42300
2014-07-24,27.500000,27.600000,27.420000,27.520000,24.427034,25300
2014-07-25,27.510000,27.530001,27.340000,27.400000,24.320522,9100
2014-07-28,27.500000,27.600000,27.440001,27.590000,24.489168,10100
2014-07-29,27.420000,27.450001,27.360001,27.420000,24.338274,17700
2014-07-30,27.420000,27.420000,27.090000,27.139999,24.089741,8500
2014-07-31,27.100000,27.100000,26.580000,26.660000,23.663689,21600
2014-08-01,26.650000,26.820000,26.600000,26.820000,23.805706,8200
2014-08-04,26.990000,27.170000,26.950001,27.160000,24.107492,8600
2014-08-05,26.840000,26.889999,26.629999,26.780001,23.770205,23200
2014-08-06,26.660000,26.770000,26.590000,26.660000,23.663689,14300
2014-08-07,26.559999,26.600000,26.430000,26.450001,23.477293,38500
2014-08-08,26.590000,26.820000,26.590000,26.780001,23.770205,5200
2014-08-11,26.889999,27.040001,26.889999,26.920000,23.894466,7000
2014-08-12,26.790001,26.969999,26.790001,26.910000,23.885592,14800
2014-08-13,26.969999,27.059999,26.940001,26.990000,23.956600,13500
2014-08-14,27.139999,27.139999,27.020000,27.080000,24.036486,16300
2014-08-15,27.000000,27.129999,26.830000,26.900000,23.876717,4400
2014-08-18,26.650000,27.160000,26.650000,27.120001,24.071993,30000
2014-08-19,27.240000,27.260000,27.150000,27.230000,24.169628,20500
2014-08-20,27.010000,27.160000,27.010000,27.139999,24.089741,8500
2014-08-21,27.150000,27.219999,27.120001,27.170000,24.116369,31500
2014-08-22,27.059999,27.110001,26.950001,27.100000,24.054239,8200
2014-08-25,27.100000,27.230000,27.100000,27.230000,24.169628,12400
2014-08-26,27.139999,27.299999,27.139999,27.270000,24.205133,21300
2014-08-27,27.330000,27.379999,27.309999,27.370001,24.293894,5200
2014-08-28,27.150000,27.219999,27.150000,27.170000,24.116369,10400
2014-08-29,27.100000,27.250000,27.090000,27.090000,24.045361,9000
2014-09-02,27.209999,27.209999,27.080000,27.160000,24.107492,7200
2014-09-03,27.370001,27.459999,27.340000,27.430000,24.347149,5500
2014-09-04,27.500000,27.570000,27.260000,27.260000,24.196255,12200
2014-09-05,27.420000,27.490000,27.320000,27.430000,24.347149,17400
2014-09-08,27.330000,27.410000,27.209999,27.209999,24.151876,11500
2014-09-09,27.080000,27.080000,26.830000,26.879999,23.858961,10000
2014-09-10,26.920000,27.010000,26.860001,26.959999,23.929972,9500
2014-09-11,26.860001,26.860001,26.750000,26.799999,23.787952,20400
2014-09-12,26.790001,26.790001,26.540001,26.660000,23.663689,9300
2014-09-15,26.629999,26.639999,26.510000,26.549999,23.566051,10200
2014-09-16,26.580000,26.900000,26.580000,26.809999,23.796831,14200
2014-09-17,26.799999,26.809999,26.590000,26.590000,23.601557,37500
2014-09-18,26.620001,26.740000,26.620001,26.740000,23.734699,10200
2014-09-19,26.719999,26.719999,26.500000,26.549999,23.566051,9200
2014-09-22,26.549999,26.549999,26.209999,26.270000,23.317522,39300
2014-09-23,26.320000,26.320000,26.150000,26.230000,23.282017,16200
2014-09-24,26.299999,26.389999,26.120001,26.299999,23.344152,52800
2014-09-25,26.049999,26.049999,25.760000,25.799999,22.900345,16400
2014-09-26,25.730000,25.910000,25.730000,25.900000,22.989105,5500
2014-09-29,25.540001,25.650000,25.520000,25.629999,22.749451,13600
2014-09-30,25.629999,25.799999,25.540001,25.719999,22.829336,12400
2014-10-01,25.600000,25.620001,25.400000,25.400000,22.545300,11200
2014-10-02,25.450001,25.450001,24.740000,25.350000,22.500921,23000
2014-10-03,25.570000,25.570000,25.100000,25.330000,22.483168,12100
2014-10-06,25.480000,25.549999,25.459999,25.490000,22.625185,11300
2014-10-07,25.389999,25.500000,25.250000,25.260000,22.421036,46500
2014-10-08,25.110001,25.440001,24.870001,25.440001,22.580805,9200
2014-10-09,25.270000,25.290001,25.030001,25.070000,22.252388,5100
2014-10-10,24.900000,24.900000,24.680000,24.719999,21.941725,7800
2014-10-13,24.790001,24.900000,24.650000,24.650000,21.879593,13200
2014-10-14,24.690001,24.910000,24.690001,24.809999,22.021612,11900
2014-10-15,24.639999,24.680000,24.040001,24.549999,21.790833,18000
2014-10-16,24.350000,24.690001,24.150000,24.570000,21.808580,16100
2014-10-17,24.770000,24.879999,24.719999,24.780001,21.994984,11600
2014-10-20,24.639999,24.889999,24.639999,24.830000,22.039366,11000
2014-10-21,25.070000,25.250000,25.070000,25.180000,22.350027,11600
2014-10-22,25.080000,25.180000,24.950001,24.990000,22.181379,8100
2014-10-23,25.160000,25.270000,25.120001,25.209999,22.376654,9500
2014-10-24,25.190001,25.290001,25.110001,25.200001,22.367781,12600
2014-10-27,24.969999,25.080000,24.969999,25.020000,22.208010,58700
2014-10-28,25.100000,25.290001,25.070000,25.240000,22.403282,94600
2014-10-29,25.420000,25.420000,25.049999,25.190001,22.358904,18500
2014-10-30,25.040001,25.320000,25.040001,25.240000,22.403282,25800
2014-10-31,25.270000,25.350000,25.260000,25.260000,22.421036,41300
2014-11-03,25.330000,25.440001,25.240000,25.280001,22.438789,11200
2014-11-04,25.270000,25.280001,25.090000,25.219999,22.385529,13500
2014-11-05,25.040001,25.070000,24.870001,25.040001,22.225760,6400
2014-11-06,24.780001,24.920000,24.690001,24.690001,21.915098,13400
2014-11-07,24.709999,24.870001,24.709999,24.860001,22.065992,11100
2014-11-10,25.000000,25.010000,24.830000,24.850000,22.057114,9100
2014-11-11,24.860001,25.010000,24.840000,25.010000,22.199133,26600
2014-11-12,25.040001,25.100000,24.950001,25.000000,22.190260,35300
2014-11-13,25.010000,25.010000,24.920000,24.969999,22.163628,6200
2014-11-14,24.990000,25.139999,24.990000,25.139999,22.314522,32500
2014-11-17,25.080000,25.080000,24.969999,25.000000,22.190260,8300
2014-11-18,25.160000,25.299999,25.160000,25.280001,22.438789,30300
2014-11-19,25.090000,25.209999,25.030001,25.170000,22.341152,7400
