Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,11096.000000,12368.000000,11048.000000,12056.000000,11349.680664,900
2014-03-17,12280.000000,13696.000000,11952.000000,13624.000000,12825.817383,900
2014-03-18,14568.000000,15120.000000,13520.000000,14104.000000,13277.696289,900
2014-03-19,15080.000000,16928.000000,14760.000000,16928.000000,15936.248047,700
2014-03-20,17584.000000,17856.000000,15248.000000,16424.000000,15461.776367,1000
2014-03-21,15280.000000,16792.000000,14776.000000,16384.000000,15424.119141,700
2014-03-24,17680.000000,20056.000000,17616.000000,19800.000000,18639.988281,800
2014-03-25,19080.000000,19344.000000,18032.000000,18472.000000,17389.791016,500
2014-03-26,18400.000000,21480.000000,18000.000000,21432.000000,20176.375000,900
2014-03-27,21816.000000,21816.000000,19264.000000,19416.000000,18278.484375,800
2014-03-28,20064.000000,20280.000000,17960.000000,18968.000000,17856.728516,600
2014-03-31,19320.000000,20832.000000,18680.000000,20760.000000,19543.744141,500
2014-04-01,20200.000000,21304.000000,19200.000000,21152.000000,19912.777344,400
2014-04-02,18880.000000,19192.000000,17480.000000,17856.000000,16809.878906,700
2014-04-03,18736.000000,19520.000000,18640.000000,19008.000000,17894.386719,600
2014-04-04,17104.000000,18488.000000,16912.000000,18184.000000,17118.664063,800
2014-04-07,18848.000000,19424.000000,17320.000000,19200.000000,18075.138672,600
2014-04-08,17608.000000,18600.000000,16872.000000,17016.000000,16019.092773,800
2014-04-09,17864.000000,17904.000000,15872.000000,16552.000000,15582.276367,700
2014-04-10,15776.000000,17784.000000,15648.000000,17608.000000,16576.408203,800
2014-04-11,17728.000000,19384.000000,17016.000000,19104.000000,17984.763672,800
2014-04-14,18400.000000,18720.000000,17328.000000,18440.000000,17359.664063,600
2014-04-15,20888.000000,21536.000000,20144.000000,20512.000000,19310.273438,900
2014-04-16,20472.000000,21200.000000,19800.000000,20648.000000,19438.306641,300
2014-04-17,20872.000000,22368.000000,20312.000000,22024.000000,20733.689453,500
