Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,43.040001,43.610001,43.040001,43.419998,36.160683,35300
2014-03-17,43.849998,44.320000,43.750000,43.840000,36.510464,102900
2014-03-18,43.939999,44.610001,43.849998,44.490002,37.051796,67900
2014-03-19,44.450001,44.779999,43.990002,44.220001,36.826931,156800
2014-03-20,43.939999,44.639999,43.860001,44.389999,36.968502,146700
2014-03-21,45.180000,45.540001,44.889999,45.240002,37.676403,228300
2014-03-24,45.439999,45.709999,45.009998,45.400002,37.809647,167700
2014-03-25,45.860001,46.099998,45.770000,45.939999,38.259369,24800
2014-03-26,46.250000,46.340000,45.430000,45.480000,37.876274,127800
2014-03-27,45.610001,45.990002,45.549999,45.910000,38.234386,19400
2014-03-28,45.990002,46.410000,45.770000,45.860001,38.192741,13800
2014-03-31,46.590000,46.720001,46.410000,46.529999,38.750729,93400
2014-04-01,46.810001,46.939999,46.500000,46.680000,38.875648,54200
2014-04-02,46.520000,47.200001,46.520000,47.110001,39.233757,82100
2014-04-03,46.860001,47.090000,46.759998,47.020000,39.158802,18400
2014-04-04,47.500000,47.830002,46.980000,47.090000,39.217102,48100
2014-04-07,47.020000,47.380001,46.750000,47.060001,39.192116,46500
2014-04-08,47.330002,48.110001,47.330002,47.689999,39.716789,79500
2014-04-09,47.860001,48.110001,47.490002,47.889999,39.883350,57000
2014-04-10,47.650002,47.750000,46.980000,47.080002,39.208775,67300
2014-04-11,46.419998,46.939999,46.310001,46.849998,39.017223,21400
2014-04-14,47.049999,47.660000,47.049999,47.410000,39.483601,59200
2014-04-15,47.169998,47.169998,45.860001,46.630001,38.834007,43300
2014-04-16,46.849998,46.939999,46.540001,46.770000,38.950603,19500
2014-04-17,46.770000,47.250000,46.689999,47.000000,39.142151,18500
2014-04-21,47.000000,47.000000,46.459999,46.709999,38.900631,21800
2014-04-22,46.990002,46.990002,46.509998,46.529999,38.750729,25700
2014-04-23,46.430000,46.650002,46.270000,46.570000,38.784039,23000
2014-04-24,46.709999,46.910000,46.439999,46.790001,38.967258,22200
2014-04-25,46.369999,46.610001,45.990002,46.169998,38.450916,120600
2014-04-28,46.020000,46.020000,45.459999,45.840000,38.176083,45300
2014-04-29,45.959999,46.290001,45.959999,46.130001,38.417603,41200
2014-04-30,45.840000,45.910000,45.669998,45.869999,38.201069,25300
2014-05-01,45.639999,45.910000,45.639999,45.799999,38.142769,68900
2014-05-02,46.160000,46.610001,46.160000,46.540001,38.759060,7400
2014-05-05,46.160000,46.279999,45.900002,45.990002,38.301010,52900
2014-05-06,45.970001,46.410000,45.970001,46.090000,38.384289,8900
2014-05-07,46.060001,46.480000,46.009998,46.419998,38.659115,85600
2014-05-08,46.380001,46.639999,46.169998,46.180000,38.459236,11100
2014-05-09,46.099998,46.330002,45.849998,46.020000,38.325996,103400
2014-05-12,46.529999,47.450001,46.529999,47.389999,39.466949,88500
2014-05-13,47.400002,47.500000,47.270000,47.310001,39.400326,13400
2014-05-14,47.570000,47.689999,47.360001,47.389999,39.466949,42900
2014-05-15,47.310001,47.310001,46.639999,47.000000,39.142151,10300
2014-05-16,46.810001,46.939999,46.470001,46.919998,39.075520,26400
2014-05-19,46.650002,46.919998,46.650002,46.919998,39.075520,9900
2014-05-20,46.590000,46.590000,45.970001,46.040001,38.342651,46300
2014-05-21,46.130001,46.369999,46.130001,46.290001,38.550850,17900
2014-05-22,46.549999,46.849998,46.540001,46.570000,38.784039,9600
2014-05-23,46.720001,46.869999,46.720001,46.869999,39.033882,3100
2014-05-27,46.860001,47.160000,46.860001,47.099998,39.225426,22500
2014-05-28,46.790001,46.790001,46.459999,46.669998,38.867317,7600
2014-05-29,46.700001,46.900002,46.490002,46.900002,39.058868,6200
2014-05-30,46.160000,46.160000,45.830002,45.919998,38.242710,87600
2014-06-02,46.230000,46.230000,45.880001,46.020000,38.325996,32700
2014-06-03,45.930000,46.070000,45.910000,46.020000,38.325996,48600
2014-06-04,45.770000,46.200001,45.770000,45.970001,38.284351,36700
2014-06-05,46.349998,46.779999,46.349998,46.639999,38.842335,12500
2014-06-06,46.980000,47.230000,46.950001,47.139999,39.258739,83900
2014-06-09,47.250000,47.439999,47.250000,47.349998,39.433632,28500
2014-06-10,47.060001,47.080002,46.880001,46.950001,39.100510,13000
2014-06-11,46.799999,47.150002,46.790001,47.099998,39.225426,7500
2014-06-12,46.740002,46.740002,46.160000,46.230000,38.500881,30300
2014-06-13,46.209999,46.509998,46.209999,46.410000,38.650791,4500
2014-06-16,46.380001,46.380001,46.110001,46.139999,38.425930,28800
2014-06-17,45.919998,46.549999,45.919998,46.549999,38.767384,10400
2014-06-18,46.549999,47.400002,46.540001,47.320000,39.408642,10900
2014-06-19,47.410000,47.619999,47.169998,47.270000,39.367004,18800
2014-06-20,46.959999,47.119999,46.959999,46.980000,39.125492,18300
2014-06-23,47.200001,47.630001,47.200001,47.500000,39.558552,35600
2014-06-24,47.240002,47.790001,47.020000,47.099998,39.225426,52900
2014-06-25,47.000000,47.520000,46.950001,47.430000,39.500259,68300
2014-06-26,47.570000,47.849998,47.459999,47.790001,39.800072,58300
2014-06-27,47.680000,47.680000,47.230000,47.439999,39.508587,23700
