Date,Open,High,Low,Close,Adj Close,Volume
2015-11-10,24.680000,24.680000,24.680000,24.680000,22.529217,100
2015-11-11,24.620001,24.620001,24.620001,24.620001,22.474447,100
2015-11-12,24.620001,24.620001,24.620001,24.620001,22.474447,0
2015-11-13,24.620001,24.620001,24.620001,24.620001,22.474447,0
2015-11-16,24.730000,24.730000,24.730000,24.730000,22.574856,100
2015-11-17,24.730000,24.730000,24.730000,24.730000,22.574856,0
2015-11-18,24.889999,24.889999,24.730000,24.730000,22.574856,900
2015-11-19,24.809999,24.809999,24.809999,24.809999,22.647886,100
2015-11-20,25.049999,25.049999,25.020000,25.020000,22.839586,400
2015-11-23,25.010000,25.010000,25.010000,25.010000,22.830460,200
2015-11-24,25.080000,25.080000,25.080000,25.080000,22.894360,5200
2015-11-25,25.080000,25.080000,25.080000,25.080000,22.894360,0
2015-11-27,24.780001,24.780001,24.780001,24.780001,22.620502,100
2015-11-30,24.650000,24.650000,24.650000,24.650000,22.501831,100
2015-12-01,24.809999,24.809999,24.809999,24.809999,22.647886,300
2015-12-02,24.559999,24.559999,24.450001,24.450001,22.319262,1700
2015-12-03,24.379999,24.379999,24.350000,24.350000,22.227974,300
2015-12-04,24.600000,24.600000,24.600000,24.600000,22.456186,200
2015-12-07,24.600000,24.600000,24.600000,24.600000,22.456186,0
2015-12-08,23.850000,23.850000,23.850000,23.850000,21.771549,200
2015-12-09,23.969999,23.969999,23.969999,23.969999,21.881086,200
2015-12-10,23.969999,23.969999,23.969999,23.969999,21.881086,0
2015-12-11,23.700001,23.700001,23.700001,23.700001,21.634621,100
2015-12-14,23.570000,23.570000,23.570000,23.570000,21.515945,100
2015-12-15,23.850000,23.850000,23.850000,23.850000,21.771549,100
2015-12-16,23.950001,24.230000,23.950001,24.230000,22.118433,200
2015-12-17,24.230000,24.230000,24.230000,24.230000,22.118433,0
2015-12-18,23.770000,24.350000,23.520000,24.350000,22.227974,18400
2015-12-21,23.870001,23.940001,23.549999,23.809999,21.735035,5800
2015-12-22,23.809999,23.809999,23.809999,23.809999,21.735035,0
2015-12-23,24.059999,24.120001,24.059999,24.120001,22.018019,200
2015-12-24,24.139999,24.139999,24.139999,24.139999,22.036278,500
2015-12-28,24.270000,24.270000,24.270000,24.270000,22.154943,1000
2015-12-29,23.879999,23.879999,23.879999,23.879999,22.236895,100
2015-12-30,23.719999,23.719999,23.719999,23.719999,22.087898,100
2015-12-31,23.620001,23.670000,23.620001,23.670000,22.041342,300
2016-01-04,22.799999,22.799999,22.790001,22.790001,21.221893,500
2016-01-05,22.980000,23.450001,22.980000,23.250000,21.650238,1700
2016-01-06,23.170000,23.170000,22.980000,22.980000,21.398817,200
2016-01-07,22.209999,22.389999,22.160000,22.160000,20.635239,1700
2016-01-08,22.320000,22.340000,22.139999,22.139999,20.616615,3100
