Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,48.610001,48.610001,48.389999,48.509998,43.319057,18000
2014-03-17,48.810001,48.889999,48.810001,48.889999,43.658394,23100
2014-03-18,49.369999,49.580002,49.299999,49.580002,44.274551,62000
2014-03-19,49.230000,49.310001,48.810001,48.830002,43.604813,51800
2014-03-20,48.480000,48.980000,48.380001,48.889999,43.658394,28900
2014-03-21,49.090000,49.450001,49.080002,49.080002,43.828064,21900
2014-03-24,49.270000,49.400002,49.070000,49.400002,44.113815,66000
2014-03-25,49.529999,49.750000,49.529999,49.669998,44.354919,2600
2014-03-26,49.980000,50.150002,49.799999,49.799999,44.471016,12700
2014-03-27,49.910000,50.189999,49.910000,50.189999,44.819275,4600
2014-03-28,50.660000,50.869999,50.660000,50.680000,45.256851,13200
2014-03-31,51.000000,51.139999,50.900002,51.099998,45.631908,15100
2014-04-01,51.570000,51.599998,51.560001,51.570000,46.051613,8700
2014-04-02,51.669998,51.849998,51.669998,51.849998,46.301643,12100
2014-04-03,51.700001,51.700001,51.209999,51.290001,45.801575,10300
2014-04-04,51.740002,52.049999,51.590000,51.590000,46.069469,10600
2014-04-07,51.150002,51.570000,51.150002,51.570000,46.051613,9400
2014-04-08,52.139999,52.220001,51.880001,51.880001,46.328442,16900
2014-04-09,52.270000,52.439999,51.910000,52.439999,46.828522,13000
2014-04-10,52.470001,52.639999,52.020000,52.130001,46.551685,23400
2014-04-11,52.029999,52.119999,51.930000,52.119999,46.542759,4900
2014-04-14,52.200001,52.290001,51.930000,52.040001,46.471313,12900
2014-04-15,51.869999,51.869999,51.220001,51.250000,45.765850,27800
2014-04-16,51.889999,51.889999,51.509998,51.860001,46.310581,13000
2014-04-17,51.250000,52.340000,51.250000,52.290001,46.694561,17200
2014-04-21,52.349998,52.630001,51.810001,52.630001,46.998180,27000
2014-04-22,52.110001,52.110001,51.970001,51.980000,46.417736,9600
2014-04-23,51.520000,51.959999,51.439999,51.700001,46.167698,11100
2014-04-24,51.520000,51.980000,51.410000,51.980000,46.417736,10600
2014-04-25,51.080002,51.080002,50.959999,50.959999,45.506886,4400
2014-04-28,51.150002,51.869999,50.880001,51.869999,46.319508,22900
2014-04-29,51.320000,51.700001,51.320000,51.480000,45.971241,8000
2014-04-30,51.419998,51.419998,51.340000,51.360001,45.864086,20300
2014-05-01,51.759998,51.759998,51.279999,51.279999,45.792645,26900
2014-05-02,51.450001,51.630001,51.450001,51.520000,46.006962,5800
2014-05-05,51.509998,51.599998,51.459999,51.580002,46.060543,3400
2014-05-06,51.590000,51.810001,51.529999,51.639999,46.114120,6700
2014-05-07,51.720001,52.139999,51.720001,52.080002,46.507046,7600
2014-05-08,51.599998,52.270000,51.599998,51.869999,46.319508,16200
2014-05-09,51.820000,52.160000,51.700001,51.950001,46.390945,13700
2014-05-12,52.490002,53.119999,52.310001,53.099998,47.417889,21600
2014-05-13,52.660000,52.950001,52.320000,52.610001,46.980324,21300
2014-05-14,52.619999,53.000000,52.619999,53.000000,47.328590,7500
2014-05-15,52.759998,52.759998,52.380001,52.549999,46.926743,13600
2014-05-16,52.720001,53.099998,52.650002,53.090000,47.408955,15100
2014-05-19,53.049999,53.230000,53.049999,53.230000,47.533974,3000
2014-05-20,52.759998,52.990002,52.759998,52.759998,47.114269,12500
2014-05-21,53.139999,53.139999,53.099998,53.110001,47.426819,2600
2014-05-22,53.400002,53.520000,53.279999,53.520000,47.792942,13200
2014-05-23,53.529999,53.560001,53.500000,53.540001,47.810802,4400
2014-05-27,53.290001,53.290001,53.090000,53.130001,47.444683,3200
2014-05-28,53.299999,53.419998,53.169998,53.380001,47.667931,13300
2014-05-29,53.419998,53.470001,53.310001,53.470001,47.748299,4900
2014-05-30,53.080002,53.080002,52.910000,52.980000,47.310730,5000
2014-06-02,52.810001,53.049999,52.799999,53.049999,47.373241,15800
2014-06-03,53.160000,53.500000,53.009998,53.340000,47.632206,10900
2014-06-04,53.340000,53.340000,53.020000,53.200001,47.507191,4300
2014-06-05,53.369999,53.560001,53.340000,53.439999,47.721508,10300
2014-06-06,53.779999,54.180000,53.770000,54.090000,48.301945,34000
2014-06-09,53.799999,54.029999,53.799999,54.009998,48.230511,44300
2014-06-10,54.230000,54.250000,54.040001,54.150002,48.355534,6200
