Date,Open,High,Low,Close,Adj Close,Volume
2014-03-14,23.870001,23.870001,23.740000,23.780001,21.600647,55400
2014-03-17,24.090000,24.090000,24.010000,24.059999,21.854986,36300
2014-03-18,24.120001,24.209999,24.120001,24.209999,22.081179,77400
2014-03-19,23.940001,24.090000,23.809999,23.809999,21.716349,32100
2014-03-20,23.740000,23.879999,23.660000,23.860001,21.761955,31900
2014-03-21,24.000000,24.059999,23.840000,23.879999,21.780193,54900
2014-03-24,23.930000,23.940001,23.780001,23.940001,21.834923,9400
2014-03-25,24.150000,24.190001,24.080000,24.190001,22.062937,33700
2014-03-26,24.309999,24.309999,24.139999,24.139999,22.017332,19400
2014-03-27,23.820000,24.330000,23.820000,24.280001,22.145023,37600
2014-03-28,24.600000,24.600000,24.500000,24.510000,22.354801,56100
2014-03-31,24.700001,24.719999,24.660000,24.719999,22.546331,69100
2014-04-01,24.850000,24.879999,24.770000,24.879999,22.692266,14300
2014-04-02,24.879999,24.910000,24.820000,24.910000,22.719629,54300
2014-04-03,24.840000,24.840000,24.719999,24.740000,22.564577,17000
2014-04-04,25.070000,25.070000,24.709999,24.830000,22.646662,45200
2014-04-07,24.850000,24.850000,24.740000,24.770000,22.591938,31400
2014-04-08,24.889999,25.000000,24.889999,24.920000,22.728748,28500
2014-04-09,24.940001,25.139999,24.920000,24.969999,22.774349,39800
2014-04-10,25.020000,25.020000,24.750000,24.750000,22.573698,52400
2014-04-11,24.790001,24.830000,24.639999,24.790001,22.610180,27100
2014-04-14,24.809999,24.850000,24.700001,24.780001,22.601057,37100
2014-04-15,24.730000,24.730000,24.389999,24.559999,22.400402,38000
2014-04-16,24.639999,24.820000,24.639999,24.809999,22.628420,50700
2014-04-17,24.860001,24.969999,24.790001,24.920000,22.728748,26600
2014-04-21,24.969999,24.969999,24.790001,24.809999,22.628420,15800
2014-04-22,25.010000,25.020000,24.980000,25.020000,22.819950,12900
2014-04-23,24.920000,24.920000,24.760000,24.860001,22.674026,63500
2014-04-24,24.980000,24.980000,24.750000,24.790001,22.610180,29800
2014-04-25,24.730000,24.730000,24.610001,24.700001,22.528093,70900
2014-04-28,24.629999,24.780001,24.600000,24.780001,22.601057,27600
2014-04-29,24.930000,24.950001,24.840000,24.950001,22.756113,38400
2014-04-30,24.870001,25.020000,24.870001,25.020000,22.819950,20200
2014-05-01,25.040001,25.070000,25.000000,25.000000,22.801712,32900
2014-05-02,25.000000,25.129999,25.000000,25.030001,22.829075,59700
2014-05-05,24.930000,25.049999,24.910000,25.020000,22.819950,37200
2014-05-06,25.049999,25.080000,24.969999,25.059999,22.856436,9300
2014-05-07,24.920000,25.100000,24.920000,25.040001,22.838196,39200
2014-05-08,25.049999,25.209999,25.049999,25.129999,22.920284,29100
2014-05-09,25.120001,25.150000,25.040001,25.129999,22.920284,55600
2014-05-12,25.280001,25.330000,25.270000,25.330000,23.102695,34000
2014-05-13,25.320000,25.389999,25.320000,25.370001,23.139179,36000
2014-05-14,25.440001,25.469999,25.350000,25.350000,23.120937,38100
2014-05-15,25.280001,25.290001,25.139999,25.160000,22.947639,55700
2014-05-16,25.320000,25.410000,25.290001,25.410000,23.175663,26400
2014-05-19,25.410000,25.440001,25.410000,25.410000,23.175663,33300
2014-05-20,25.290001,25.340000,25.150000,25.260000,23.038849,27900
2014-05-21,25.270000,25.400000,25.270000,25.340000,23.111822,59100
2014-05-22,25.389999,25.500000,25.389999,25.450001,23.212145,31400
2014-05-23,25.469999,25.580000,25.469999,25.490000,23.248629,34000
2014-05-27,25.430000,25.540001,25.430000,25.430000,23.193903,40900
2014-05-28,25.480000,25.559999,25.469999,25.469999,23.230389,48000
2014-05-29,25.559999,25.629999,25.549999,25.629999,23.376316,39600
2014-05-30,25.600000,25.600000,25.410000,25.490000,23.248629,43900
2014-06-02,25.600000,25.600000,25.530001,25.549999,23.303349,19600
2014-06-03,25.629999,25.629999,25.559999,25.559999,23.312471,56900
2014-06-04,25.500000,25.540001,25.450001,25.459999,23.221266,34500
2014-06-05,25.660000,25.770000,25.639999,25.770000,23.504007,21500
2014-06-06,25.840000,25.950001,25.840000,25.940001,23.659060,11300
2014-06-09,25.959999,25.959999,25.900000,25.900000,23.622576,60700
2014-06-10,25.940001,26.000000,25.930000,25.969999,23.686419,24300
2014-06-11,25.900000,25.900000,25.799999,25.830000,23.558723,50800
2014-06-12,25.969999,25.969999,25.730000,25.730000,23.467525,54000
2014-06-13,25.920000,25.920000,25.750000,25.750000,23.485765,22100
2014-06-16,25.650000,25.790001,25.620001,25.750000,23.485765,79400
2014-06-17,25.520000,25.520000,25.340000,25.410000,23.422163,24100
