,index,new,yieldcurve,active,time,portfolio,still,go,management,work,china,bond,fixedincome,growth,top,could,may,gold,global,equity,vanguard,industry,best,first
index,1,0.19696969696969685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,0.15568862275449102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yieldcurve,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active,0,0,0,1,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time,0,0,0,0.08695652173913043,1,0.24637681159420297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portfolio,0,0,0,0,0.16504854368932034,1,0.16504854368932034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
still,0,0,0,0,0,0.253731343283582,1,0.1940298507462686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,0,0,0,0,0,0,0.30232558139534876,1,0.2325581395348837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
management,0,0,0,0,0,0,0,0.13888888888888892,1,0.06944444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,0,0,0,0,0,0,0,0,0.15151515151515152,1,0.12121212121212122,0,0,0,0,0,0,0,0,0,0,0,0,0
china,0,0,0,0,0,0,0,0,0,0.0449438202247191,1,0.0449438202247191,0,0,0,0,0,0,0,0,0,0,0,0
bond,0,0,0,0,0,0,0,0,0,0,0.03636363636363636,1,0,0,0,0,0,0,0,0,0,0,0,0
fixedincome,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
growth,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17241379310344823,0,0,0,0,0,0,0,0,0
top,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23809523809523808,1,0.20634920634920634,0,0,0,0,0,0,0,0
could,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20967741935483863,1,0.29032258064516114,0,0,0,0,0,0,0
may,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25352112676056343,1,0.056338028169014086,0,0,0,0,0,0
gold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07272727272727272,1,0.09090909090909091,0,0,0,0,0
global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06578947368421052,1,0.15789473684210525,0,0,0,0
equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14634146341463414,1,0.14634146341463414,0,0,0
vanguard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18461538461538463,1,0.18461538461538463,0,0
industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1967213114754098,1,0.11475409836065575,0
best,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08974358974358973,1,0.15384615384615385
first,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,1
